statement,label,statement_id,source
The shark has a diet of carnivore.,1,1,animals
"The iguana has a long, whip-like tail for defense and can change color to regulate body temperature.",1,2,animals
The tortoise uses walking for locomotion.,1,3,animals
The horse uses walking for locomotion.,1,4,animals
The slug has a diet of herbivore.,1,5,animals
There are no specific human uses for vulture.,1,6,animals
The crocodile is a reptile.,1,7,animals
"Human uses for penguin include tourism, research.",1,8,animals
The alpaca uses walking for locomotion.,1,9,animals
The goat is a mammal.,1,10,animals
The salmon uses swimming for locomotion.,1,11,animals
The ostrich uses running for locomotion.,1,12,animals
The squirrel uses walking/jumping for locomotion.,1,13,animals
The chimpanzee uses walking for locomotion.,1,14,animals
"The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",1,15,animals
The gorilla has a diet of herbivore.,1,16,animals
The peacock is a bird.,1,17,animals
There are no specific human uses for pigeon.,1,18,animals
The goldfish can recognize human faces and has a memory span of around three months.,1,19,animals
The manta ray is a fish.,1,20,animals
The deer has a diet of herbivore.,1,21,animals
The iguana is a reptile.,1,22,animals
The parrot has a diet of omnivore.,1,23,animals
"Human uses for tortoise include pets, zoos.",1,24,animals
The lion uses walking for locomotion.,1,25,animals
The rhinoceros is a mammal.,1,26,animals
The pigeon has a habitat of urban/old-world habitats.,1,27,animals
The snake uses slithering for locomotion.,1,28,animals
"Human uses for flamingo include tourism, research, zoos.",1,29,animals
The llama has a habitat of mountain.,1,30,animals
"Human uses for goldfish include pets, ornamental ponds.",1,31,animals
The vulture uses flying for locomotion.,1,32,animals
The goat has a habitat of farmland.,1,33,animals
The jellyfish is a cnidarian.,1,34,animals
The moose has a habitat of forest.,1,35,animals
The elephant uses walking for locomotion.,1,36,animals
The salmon is a fish.,1,37,animals
The hamster uses walking for locomotion.,1,38,animals
There are no specific human uses for sparrow.,1,39,animals
The sea turtle is a reptile.,1,40,animals
The bison uses walking for locomotion.,1,41,animals
The tiger is a mammal.,1,42,animals
"Human uses for elephant include work, tourism, conservation.",1,43,animals
The camel has a diet of herbivore.,1,44,animals
The cow has a diet of herbivore.,1,45,animals
"Human uses for peacock include pets, ornamental displays.",1,46,animals
The llama has a diet of herbivore.,1,47,animals
The beaver has a habitat of freshwater.,1,48,animals
The armadillo uses walking for locomotion.,1,49,animals
