layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.5
1,0.5567010309278351,0.6170212765957447,0.29896907216494845,0.4027777777777778,0.5917206929535551
2,0.5,0.5,1.0,0.6666666666666666,0.5
3,0.5,0.0,0.0,0.0,0.21256244021681367
4,0.5,0.0,0.0,0.0,0.42305239664151345
5,0.5,0.0,0.0,0.0,0.2775534063131045
6,0.4948453608247423,0.4444444444444444,0.041237113402061855,0.07547169811320754,0.47380167924327776
7,0.5,0.0,0.0,0.0,0.2640556913593368
8,0.5,0.5,1.0,0.6666666666666666,0.5
9,0.5,0.5,1.0,0.6666666666666666,0.46827505579764056
10,0.5,0.5,1.0,0.6666666666666666,0.6081942820703583
11,0.5,0.0,0.0,0.0,0.5378361143585929
12,0.5,0.0,0.0,0.0,0.48501434796471465
13,0.5,0.5,1.0,0.6666666666666666,0.5
14,0.4329896907216495,0.0,0.0,0.0,0.3383462642151132
15,0.5,0.5,1.0,0.6666666666666666,0.5051014985652036
16,0.5,0.0,0.0,0.0,0.4578063556169625
17,0.3402061855670103,0.20754716981132076,0.1134020618556701,0.14666666666666667,0.23201190349665213
18,0.5257731958762887,0.5157232704402516,0.845360824742268,0.640625,0.5365607397172919
19,0.5257731958762887,0.5172413793103449,0.7731958762886598,0.6198347107438017,0.5043575300244447
20,0.4948453608247423,0.4444444444444444,0.041237113402061855,0.07547169811320754,0.5566478903177808
21,0.5051546391752577,0.5128205128205128,0.20618556701030927,0.29411764705882354,0.5170581358273993
22,0.4536082474226804,0.45263157894736844,0.44329896907216493,0.4479166666666667,0.4405887979594006
23,0.41237113402061853,0.28205128205128205,0.1134020618556701,0.16176470588235295,0.4613136358805399
24,0.4587628865979381,0.36666666666666664,0.1134020618556701,0.1732283464566929,0.45993198001913066
25,0.4948453608247423,0.49693251533742333,0.8350515463917526,0.6230769230769231,0.5197683069401637
26,0.4536082474226804,0.4720496894409938,0.7835051546391752,0.5891472868217055,0.39212456158996706
27,0.5051546391752577,0.5027624309392266,0.9381443298969072,0.6546762589928058,0.4969709852269104
28,0.39690721649484534,0.2916666666666667,0.14432989690721648,0.19310344827586207,0.385322563503029
29,0.5,0.5,1.0,0.6666666666666666,0.42624083324476564
30,0.4845360824742268,0.2857142857142857,0.020618556701030927,0.038461538461538464,0.47762780316718034
31,0.5,0.5,1.0,0.6666666666666666,0.4619513232011903
