layer,accuracy,precision,recall,f1,auroc
0,0.5,0.5,0.8041237113402062,0.616600790513834,0.513338293123605
1,0.4587628865979381,0.42,0.21649484536082475,0.2857142857142857,0.44026995429907534
2,0.5,0.5,1.0,0.6666666666666666,0.5637155914549898
3,0.5,0.5,1.0,0.6666666666666666,0.6506536295036667
4,0.5,0.5,1.0,0.6666666666666666,0.6817408863853758
5,0.5257731958762887,0.7272727272727273,0.08247422680412371,0.14814814814814814,0.6044212987565099
6,0.4329896907216495,0.45806451612903226,0.7319587628865979,0.5634920634920635,0.4019555744499947
7,0.5,0.0,0.0,0.0,0.2521521947071952
8,0.5,0.5,0.9896907216494846,0.6643598615916955,0.3421192475289616
9,0.5,0.5,1.0,0.6666666666666666,0.447762780316718
10,0.6443298969072165,0.6346153846153846,0.6804123711340206,0.6567164179104478,0.7257944521203104
11,0.5103092783505154,0.625,0.05154639175257732,0.09523809523809523,0.640556913593368
12,0.5309278350515464,0.5161290322580645,0.9896907216494846,0.6784452296819788,0.7705388457859497
13,0.5257731958762887,0.5132275132275133,1.0,0.6783216783216783,0.8206504410670634
14,0.5979381443298969,0.5549132947976878,0.9896907216494846,0.7111111111111111,0.9335210968221915
15,0.5,0.0,0.0,0.0,0.55537251567648
16,0.4484536082474227,0.4715909090909091,0.8556701030927835,0.608058608058608,0.2282920607928579
17,0.4175257731958763,0.45,0.7422680412371134,0.5603112840466926,0.2517802104368158
18,0.2422680412371134,0.22826086956521738,0.21649484536082475,0.2222222222222222,0.16643639068976512
19,0.422680412371134,0.44966442953020136,0.6907216494845361,0.5447154471544715,0.34121585715804015
20,0.5,0.5,1.0,0.6666666666666666,0.32075672228717184
21,0.4742268041237113,0.4864864864864865,0.9278350515463918,0.6382978723404256,0.22935487299394197
22,0.5,0.5,1.0,0.6666666666666666,0.24816664895312995
23,0.42783505154639173,0.4520547945205479,0.6804123711340206,0.5432098765432098,0.3574768838346264
24,0.5,0.5,0.979381443298969,0.662020905923345,0.5056329046657455
25,0.5309278350515464,0.5306122448979592,0.5360824742268041,0.5333333333333333,0.526357742586885
26,0.3402061855670103,0.3959731543624161,0.6082474226804123,0.4796747967479675,0.2265384206610692
27,0.44329896907216493,0.36585365853658536,0.15463917525773196,0.21739130434782608,0.38452545435221597
28,0.5412371134020618,0.521505376344086,1.0,0.6855123674911661,0.5889573812307365
29,0.5,0.5,1.0,0.6666666666666666,0.508874481879052
30,0.5463917525773195,0.5260115606936416,0.9381443298969072,0.674074074074074,0.52768625783824
31,0.5257731958762887,0.5165562913907285,0.8041237113402062,0.6290322580645161,0.5405994260814114
