layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.5
1,0.5,0.0,0.0,0.0,0.443298969072165
2,0.5,0.5,1.0,0.6666666666666666,0.5618556701030929
3,0.5,0.5,1.0,0.6666666666666666,0.6473589116803061
4,0.5,0.0,0.0,0.0,0.44701881177595915
5,0.5,0.5,1.0,0.6666666666666666,0.6181847167605484
6,0.5,0.0,0.0,0.0,0.5173238388776703
7,0.5309278350515464,0.5185185185185185,0.865979381443299,0.6486486486486487,0.5479859708789457
8,0.5463917525773195,0.7368421052631579,0.14432989690721648,0.2413793103448276,0.6397598044425551
9,0.6391752577319587,0.6194690265486725,0.7216494845360825,0.6666666666666666,0.6852481666489532
10,0.5,0.5,0.07216494845360824,0.12612612612612611,0.4755553193750664
11,0.4793814432989691,0.4473684210526316,0.17525773195876287,0.2518518518518518,0.40865129131682437
12,0.5,0.0,0.0,0.0,0.6986927409926665
13,0.6752577319587629,0.75,0.5257731958762887,0.6181818181818182,0.7527367414177915
14,0.6030927835051546,0.7631578947368421,0.29896907216494845,0.42962962962962964,0.6931661175470294
15,0.4742268041237113,0.48677248677248675,0.9484536082474226,0.6433566433566433,0.40163673078966944
16,0.4793814432989691,0.4777777777777778,0.44329896907216493,0.45989304812834225,0.4692847273886704
17,0.4742268041237113,0.4864864864864865,0.9278350515463918,0.6382978723404256,0.5110001062812202
18,0.5,0.5,1.0,0.6666666666666666,0.5398023169305983
19,0.5,0.5,1.0,0.6666666666666666,0.49962801572962057
20,0.4948453608247423,0.49740932642487046,0.9896907216494846,0.6620689655172414,0.4807099585503241
21,0.5,0.5,1.0,0.6666666666666666,0.5164204485067488
22,0.5,0.5,1.0,0.6666666666666666,0.48543947284514827
23,0.5,0.5,1.0,0.6666666666666666,0.4778403656073971
24,0.5,0.5,1.0,0.6666666666666666,0.5377829737485387
25,0.5,0.5,1.0,0.6666666666666666,0.47943458390902327
26,0.5,0.5,1.0,0.6666666666666666,0.48150706770113716
27,0.5,0.5,1.0,0.6666666666666666,0.5405994260814114
28,0.5,0.5,1.0,0.6666666666666666,0.49973429694972893
29,0.5,0.5,1.0,0.6666666666666666,0.5158359017961527
30,0.5,0.5,1.0,0.6666666666666666,0.5111063875013285
31,0.5,0.5,1.0,0.6666666666666666,0.5618556701030928
