layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.45999999999999996
1,0.5,0.5,1.0,0.6666666666666666,0.56
2,0.5,0.0,0.0,0.0,0.57
3,0.5,0.5,1.0,0.6666666666666666,0.44999999999999996
4,0.5,0.5,1.0,0.6666666666666666,0.55
5,0.5,0.5,1.0,0.6666666666666666,0.55
6,0.5,0.5,1.0,0.6666666666666666,0.49000000000000005
7,0.5,0.5,1.0,0.6666666666666666,0.48
8,0.5,0.0,0.0,0.0,0.52
9,0.5,0.5,1.0,0.6666666666666666,0.49
10,0.5,0.0,0.0,0.0,0.51
11,0.5,0.5,1.0,0.6666666666666666,0.42
12,0.5,0.5,1.0,0.6666666666666666,0.59
13,0.5,0.0,0.0,0.0,0.52
14,0.5,0.0,0.0,0.0,0.64
15,0.5,0.0,0.0,0.0,0.66
16,0.5,0.5,1.0,0.6666666666666666,0.66
17,0.5,0.0,0.0,0.0,0.66
18,0.5,0.0,0.0,0.0,0.47
19,0.45,0.4444444444444444,0.4,0.42105263157894735,0.49
20,0.5,0.5,1.0,0.6666666666666666,0.51
21,0.6,1.0,0.2,0.3333333333333333,0.63
22,0.5,0.5,1.0,0.6666666666666666,0.44000000000000006
23,0.5,0.5,1.0,0.6666666666666666,0.52
24,0.5,0.5,1.0,0.6666666666666666,0.48
25,0.5,0.5,1.0,0.6666666666666666,0.75
26,0.5,0.0,0.0,0.0,0.47
27,0.5,0.0,0.0,0.0,0.5800000000000001
28,0.5,0.5,1.0,0.6666666666666666,0.43000000000000005
29,0.5,0.0,0.0,0.0,0.52
30,0.5,0.5,1.0,0.6666666666666666,0.36
31,0.5,0.0,0.0,0.0,0.55
