layer,accuracy,precision,recall,f1,auroc
0,0.5,0.5,1.0,0.6666666666666666,0.52
1,0.55,0.5454545454545454,0.6,0.5714285714285714,0.54
2,0.5,0.0,0.0,0.0,0.64
3,0.5,0.5,0.7,0.5833333333333334,0.51
4,0.5,0.5,1.0,0.6666666666666666,0.49
5,0.5,0.5,1.0,0.6666666666666666,0.5
6,0.55,0.5294117647058824,0.9,0.6666666666666666,0.5700000000000001
7,0.5,0.0,0.0,0.0,0.48
8,0.5,0.5,0.9,0.6428571428571429,0.52
9,0.6,0.5555555555555556,1.0,0.7142857142857143,0.64
10,0.5,0.0,0.0,0.0,0.66
11,0.5,0.0,0.0,0.0,0.58
12,0.8,0.8,0.8,0.8,0.7300000000000001
13,0.8,0.875,0.7,0.7777777777777778,0.78
14,0.65,1.0,0.3,0.46153846153846156,0.84
15,0.55,1.0,0.1,0.18181818181818182,0.66
16,0.7,0.6428571428571429,0.9,0.75,0.6799999999999999
17,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001
18,0.55,0.5333333333333333,0.8,0.64,0.52
19,0.55,0.5384615384615384,0.7,0.6086956521739131,0.57
20,0.55,0.5263157894736842,1.0,0.6896551724137931,0.6300000000000001
21,0.55,0.5294117647058824,0.9,0.6666666666666666,0.56
22,0.55,0.5263157894736842,1.0,0.6896551724137931,0.65
23,0.6,0.5714285714285714,0.8,0.6666666666666666,0.59
24,0.5,0.5,1.0,0.6666666666666666,0.64
25,0.55,0.6,0.3,0.4,0.71
26,0.55,0.5333333333333333,0.8,0.64,0.54
27,0.6,0.75,0.3,0.42857142857142855,0.56
28,0.55,0.5263157894736842,1.0,0.6896551724137931,0.7999999999999999
29,0.5,0.5,1.0,0.6666666666666666,0.74
30,0.55,0.5294117647058824,0.9,0.6666666666666666,0.68
31,0.55,0.5294117647058824,0.9,0.6666666666666666,0.66
