layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.5
10,0.5,0.0,0.0,0.0,0.57
11,0.5,0.0,0.0,0.0,0.74
12,0.5,0.0,0.0,0.0,0.7700000000000001
13,0.5,0.0,0.0,0.0,0.85
14,0.5,0.5,1.0,0.6666666666666666,0.91
15,0.5,0.0,0.0,0.0,0.77
16,0.5,0.5,1.0,0.6666666666666666,0.77
17,0.5,0.0,0.0,0.0,0.77
18,0.5,0.0,0.0,0.0,0.75
19,0.5,0.0,0.0,0.0,0.7100000000000001
1,0.6,0.5833333333333334,0.7,0.6363636363636364,0.54
20,0.5,0.0,0.0,0.0,0.74
21,0.5,0.0,0.0,0.0,0.7000000000000001
22,0.5,0.0,0.0,0.0,0.72
23,0.5,0.5,1.0,0.6666666666666666,0.75
24,0.5,0.5,1.0,0.6666666666666666,0.75
25,0.5,0.5,1.0,0.6666666666666666,0.74
26,0.5,0.5,1.0,0.6666666666666666,0.74
27,0.5,0.5,1.0,0.6666666666666666,0.74
28,0.5,0.5,1.0,0.6666666666666666,0.71
29,0.5,0.5,1.0,0.6666666666666666,0.79
2,0.5,0.0,0.0,0.0,0.57
30,0.5,0.5,1.0,0.6666666666666666,0.72
31,0.55,0.5263157894736842,1.0,0.6896551724137931,0.6900000000000001
3,0.5,0.0,0.0,0.0,0.5700000000000001
4,0.5,0.0,0.0,0.0,0.51
5,0.5,0.0,0.0,0.0,0.5800000000000001
6,0.55,0.5454545454545454,0.6,0.5714285714285714,0.58
7,0.5,0.5,1.0,0.6666666666666666,0.54
8,0.5,0.0,0.0,0.0,0.6
9,0.5,0.5,0.1,0.16666666666666666,0.65
