layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.5
10,0.5,0.5,1.0,0.6666666666666666,0.5
11,0.5,0.5,1.0,0.6666666666666666,0.56
12,0.5,0.5,1.0,0.6666666666666666,0.71
13,0.5,0.0,0.0,0.0,0.7300000000000001
14,0.5,0.0,0.0,0.0,0.74
15,0.5,0.5,1.0,0.6666666666666666,0.43000000000000005
16,0.5,0.5,1.0,0.6666666666666666,0.42
17,0.5,0.5,1.0,0.6666666666666666,0.44
18,0.5,0.5,1.0,0.6666666666666666,0.54
19,0.5,0.5,1.0,0.6666666666666666,0.53
1,0.5,0.5,1.0,0.6666666666666666,0.43999999999999995
20,0.5,0.5,1.0,0.6666666666666666,0.47
21,0.5,0.5,1.0,0.6666666666666666,0.49
22,0.5,0.5,1.0,0.6666666666666666,0.52
23,0.55,0.5263157894736842,1.0,0.6896551724137931,0.52
24,0.45,0.4,0.2,0.26666666666666666,0.55
25,0.45,0.4,0.2,0.26666666666666666,0.54
26,0.5,0.5,1.0,0.6666666666666666,0.5700000000000001
27,0.5,0.5,0.2,0.2857142857142857,0.55
28,0.45,0.3333333333333333,0.1,0.15384615384615385,0.57
29,0.5,0.0,0.0,0.0,0.56
2,0.5,0.0,0.0,0.0,0.53
30,0.55,1.0,0.1,0.18181818181818182,0.59
31,0.5,0.0,0.0,0.0,0.5800000000000001
3,0.5,0.0,0.0,0.0,0.55
4,0.5,0.5,1.0,0.6666666666666666,0.43
5,0.5,0.0,0.0,0.0,0.52
6,0.5,0.5,1.0,0.6666666666666666,0.48
7,0.5,0.0,0.0,0.0,0.45999999999999996
8,0.5,0.0,0.0,0.0,0.47
9,0.5,0.5,1.0,0.6666666666666666,0.5
